---
description: Татары, one of the peoples of Russia — male surname (declined masculine form)
weighted: true
---
Хабибуллин,1000000
Гайнуллин,933821
Валиев,873079
Сафин,817244
Шарипов,765844
Ахметов,718461
Зарипов,674722
Каримов,634293
Нуриев,596876
Рахимов,562205
Сабиров,530039
Хайруллин,500163
Фаттахов,472383
Мустафин,446524
Шайхутдинов,422427
Галиев,399950
Исмагилов,378963
Нигматуллин,359348
Салимов,340998
Тагиров,323816
Фазылов,307713
Хасанов,292608
Юнусов,278428
Мингазов,265105
Гимадиев,252578
Заляев,240789
Насыров,229686
Ситдиков,219223
Хамидуллин,209354
Ярулин,200040
