---
description: Татары — male patronymic, formed from the father's given name by the Russian rules
weighted: true
---
Ринатович,1000000
Маратович,500000
Ильдарович,333333
Рустамович,250000
Ильнурович,200000
Айдарович,166667
Тимурович,142857
Азатович,125000
Рамилевич,111111
Наилевич,100000
Ленарович,90909
Фаритович,83333
Мансурович,76923
Дамирович,71429
Булатович,66667
Айратович,62500
Ильшатович,58824
Салаватович,55556
Фанисович,52632
Ирекович,50000
Рафаэлевич,47619
Ильгизович,45455
Зуфарович,43478
Раисович,41667
Юнусович,40000
Габдуллич,38462
Мухамматович,37037
Рушанович,35714
Фаилевич,34483
Ниязович,33333
Айнурович,32258
Данилович,31250
Радикович,30303
Талгатович,29412
Хамитович,28571
